TransactionId,TransactionDate,Amount,MerchantId,MerchantCity,MerchantState,PostalCode,MerchantCategoryCode,SKU
377169724,10/16/20,$134.09 ,3527210000,La Verne,CA,91750,5300,S9422
937424915,10/26/20,$38.48 ,727612000,Monterey Park,CA,91754,5411,S6126
707422655,12/23/20,$120.34 ,3414530000,Monterey Park,CA,91754,5411,S8449
795000195,10/8/20,$128.95 ,5817220000,Monterey Park,CA,91754,5651,S7968
421401111,12/19/20,$104.71 ,7146670000,La Verne,CA,91750,5912,S4584
964811186,11/15/20,$86.19 ,4055260000,Monterey Park,CA,91755,5970,S5235
900492238,12/7/20,$93.84 ,4500540000,Monterey Park,CA,91754,5411,S5508
793006023,12/4/20,$123.50 ,9092680000,Monterey Park,CA,91754,5411,S5306
164114083,10/13/20,$61.72 ,2027550000,Monterey Park,CA,91754,5411,S9685
495659575,10/13/20,$57.10 ,5475680000,La Verne,CA,91750,7538,S2885
645119522,10/26/20,$76.07 ,34551500,La Verne,CA,91750,5814,S1548
997304574,12/25/20,$110.37 ,4060650000,Mira Loma,CA,91752,5541,S3485
276200774,11/7/20,$117.05 ,6733170000,Monterey Park,CA,91754,5411,S5916
298747446,11/29/20,$45.30 ,3345940000,Monterey Park,CA,91755,5942,S8544
212811664,12/5/20,$29.34 ,3189520000,La Verne,CA,91750,7538,S9354
537606411,10/13/20,$147.45 ,8338380000,La Verne,CA,91750,5912,S0271
3511118,11/6/20,$27.75 ,4282470000,La Verne,CA,91750,5411,S8632
635202682,11/6/20,$76.57 ,1605790000,Monterey Park,CA,91754,5411,S6351
966261936,11/3/20,$22.56 ,6666500000,Mira Loma,CA,91752,7832,S1345
436071833,10/8/20,$37.50 ,1913480000,La Verne,CA,91750,5411,S6764
247947723,10/19/20,$65.50 ,245178000,La Verne,CA,91750,7538,S3196
326097800,12/9/20,$56.42 ,5904120000,La Verne,CA,91750,5311,S4787
655687119,10/2/20,$2.71 ,3952150000,La Verne,CA,91750,5411,S8246
360373901,11/4/20,$160.00 ,5023500000,Mira Loma,CA,91752,4829,S5363
340312889,10/1/20,$102.18 ,1288080000,La Verne,CA,91750,5300,S5287
228630330,12/28/20,$36.73 ,7945330000,La Verne,CA,91750,5912,S4383
659639601,10/12/20,$29.33 ,838425000,Mira Loma,CA,91752,7832,S0139
205170562,10/5/20,$162.39 ,7421090000,La Verne,CA,91750,5411,S7054
690148705,11/3/20,$34.40 ,9137770000,La Verne,CA,91750,5912,S3767
620257884,10/13/20,$62.06 ,5445100000,Mira Loma,CA,91752,5541,S3881
495876516,11/27/20,$99.00 ,4956620000,Mira Loma,CA,91752,5541,S3827
455158741,11/9/20,$80.18 ,2187840000,La Verne,CA,91750,5812,S2938
941113211,12/5/20,$122.10 ,7834060000,La Verne,CA,91750,5411,S7138
501318533,12/20/20,$92.76 ,6042530000,La Verne,CA,91750,5411,S4433
879641683,10/16/20,$52.52 ,4334230000,La Verne,CA,91750,5411,S1602
883953402,11/14/20,$1.13 ,3348980000,La Verne,CA,91750,5499,S2390
346576888,10/12/20,$126.79 ,811651000,La Verne,CA,91750,5300,S6285
222806107,11/6/20,$44.41 ,8135850000,La Verne,CA,91750,5912,S0716
825586887,10/9/20,$164.37 ,3265670000,La Verne,CA,91750,5912,S6144
703021030,12/9/20,$12.76 ,86825600,La Verne,CA,91750,5814,S8345
67477276,10/27/20,$109.94 ,4241340000,La Verne,CA,91750,5912,S5118
766333342,10/13/20,$126.29 ,6661970000,La Verne,CA,91750,5311,S0635
600158556,12/31/20,$40.81 ,8080930000,La Verne,CA,91750,5411,S7287
507596614,12/25/20,$81.35 ,3129260000,Diamond Bar,CA,91765,5719,S3758
451392290,10/21/20,$115.34 ,6515850000,La Verne,CA,91750,5300,S6851
371949512,12/12/20,$44.25 ,4733020000,La Verne,CA,91750,5411,S2561
987914168,10/29/20,$120.19 ,2744910000,La Verne,CA,91750,5912,S8776
248878513,12/1/20,$159.72 ,6406660000,La Verne,CA,91750,5912,S9535
424699814,10/13/20,$128.85 ,7807050000,La Verne,CA,91750,5300,S4177
27515462,10/13/20,$92.30 ,2565170000,La Verne,CA,91750,5814,S5103
559573664,10/20/20,$168.11 ,6654290000,La Verne,CA,91750,5912,S8755
465960436,11/13/20,$53.09 ,8408860000,La Verne,CA,91750,7538,S1978
304164201,12/20/20,$104.77 ,8566950000,La Verne,CA,91750,5311,S3296
9703837,12/5/20,$119.69 ,6343150000,La Verne,CA,91750,5311,S2278
324177620,10/4/20,$145.50 ,4581050000,Mira Loma,CA,91752,5541,S9612
502078662,10/29/20,$48.34 ,6455210000,Monterey Park,CA,91755,5942,S7546
710461914,12/11/20,$2.79 ,4751700000,Monterey Park,CA,91754,5411,S4800
